stoxx_id,name,isin,sedol,ric,date,ADTV_3M_EUR
276388,AtkinsRealis,CA78460T1057,2763884,ATRL.TO,12/18/2023,10058266.3030894
278426,SILVERCORP METALS,CA82835P1036,2784261,SVM.TO,12/18/2023,549607.301829071
279311,Canadian Pacific Kansas City,CA13646K1084,BMBQR09,CP.TO,12/18/2023,83223396.1398146
280371,Skyworth Group,BMG8181C1001,6228828,0751.HK,12/18/2023,1409855.33907076
281775,IA FINANCIAL CORP,CA45075E1043,BJ2ZH37,IAG.TO,12/18/2023,14613779.6980977
282694,NEW GOLD,CA6445351068,2826947,NGD.TO,12/18/2023,1649086.38269335
285363,SUPERIOR PLUS,CA86828P1036,B3KTPS0,SPB.TO,12/18/2023,4681103.57199936
285423,STANTEC,CA85472N1096,2854238,STN.TO,12/18/2023,22658827.0779967
286685,LUNDIN MINING,CA5503721063,2866857,LUN.TO,12/18/2023,15783227.8790133
286996,TRICAN WELL SER.,CA8959451037,2869964,TCW.TO,12/18/2023,2333399.1970749
287300,TASEKO MINES,CA8765111064,2873006,TKO.TO,12/18/2023,208027.578215877
287864,WASTE CONNECTIONS,CA94106B1013,BYQFRK5,WCN.TO,12/18/2023,33083935.6739015
302323,PAGEGROUP PLC,GB0030232317,3023231,PAGE.L,12/18/2023,3023512.60732262
303293,WINCANTON,GB0030329360,3032936,WIN.L,12/18/2023,518922.209152327
307428,REMY COINTREAU,FR0000130395,4741714,RCOP.PA1,12/18/2023,12575201.1304278
315758,WOOD GRP (JOHN),GB00B5N0P849,B5N0P84,WG.L,12/18/2023,2303243.3377667
316383,INTERTEK GRP,GB0031638363,3163836,ITRK.L,12/18/2023,15334730.8931703
317430,BURBERRY,GB0031743007,3174300,BRBY.L,12/18/2023,31436661.8995101
317731,INVESTEC,GB00B17BBQ50,B17BBQ5,INVP.L,12/18/2023,4637444.71144861
321430,BEAZLEY,GB00BYQ0JC66,BYQ0JC6,BEZG.L,12/18/2023,11506685.8663521
326127,MITCHELLS & BUTLERS,GB00B1FP6H53,B1FP6H5,MAB.L,12/18/2023,855640.57417362
336292,IP GRP,GB00B128J450,B128J45,IPO.L,12/18/2023,807047.647381011
360254,BOARDWALK RLST.INV.TST.,CA0966311064,B011205,BEI_u.TO,12/18/2023,5553302.74167351
400169,AGEAS,BE0974264930,B86S2N0,AGES.BR1,12/18/2023,12833935.2645681
400500,UMICORE,BE0974320526,BF44466,UMI.BR1,12/18/2023,11463152.0945218
400523,ACERINOX,ES0132105018,B01ZVZ5,ACX.MC,12/18/2023,7120000.25820931
400609,AEGON,BMG0112X1056,BPH0Y27,AEGN.AS1,12/18/2023,31012393.5837217
400627,TURKCELL ILETISIM HIZM.,TRATCELL91M1,B03MYN3,TCELL.IS,12/18/2023,55669332.3400658
400702,ADECCO,CH0012138605,7110720,ADEN.S,12/18/2023,19857766.8139344
400930,ASSA ABLOY,SE0007100581,BYPC1T4,ASSAb.ST,12/18/2023,38151367.2872384
401093,AHOLD DELHAIZE,NL0011794037,BD0Q398,AD.AS1,12/18/2023,56390554.8795176
401112,AKBANK,TRAAKBNK91N6,B03MN70,AKBNK.IS,12/18/2023,105974438.386793
